Reference Number,Date Entered,Concern Address,Disposition,Concern Type,Concern Description,Citation Fine Total,Balance Remaining
RAC-2021-00953,6/27/2021,43158 Sunset Dr.,No Issue,Vacation Rental Spa after 10pm,43158 Sunset Drive. this same group as before are screaming and shouting again and they’re in the spa late at night.,0,0
RAC-2021-01168,7/15/2021,43160 SHEEPHORN RD,Issued Citation,Vacation Rental Noise/Party,Amplified Music/ Party,4500,4500
RAC-2021-00083,2/17/2021,43160 SHEEPHORN RD,No Issue,Vacation Rental Parking,Too many cars,0,0
RAC-2021-00603,5/15/2021,43160 SHEEPHORN RD,No Issue,Vacation Rental Noise/Party,amplified music,0,0
RAC-2021-00873,6/19/2021,43162 SUNSET DR,No Issue,Vacation Rental Noise/Party,The real location is 43158 Sunset Drive (for some reason the app has a hard time finding the right address). There’s a barking dog inside a full time rental house — at 7 am!,0,0
RAC-2021-01262,7/22/2021,43165 SUNSET DR,Issued Citation,Vacation Rental Spa after 10pm,"43158 Sunset Drive. Amplified music, using spa after 10 pm",1000,0
RAC-2021-00296,3/27/2021,43166 SUNSET DR,Issued Citation,Vacation Rental Noise/Party,location is 43166 Sunset Drive. renters playing loud amplified music in yard,1000,0
RAC-2021-00263,3/20/2021,43172 SUNSET DR,Issues Resolved With Verbal Warning,Vacation Rental Over Occupancy,house is zoned for 4 guests. I counted 8 adults carrying luggage in,0,0
RAC-2021-00406,4/11/2021,43172 SUNSET DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,6 cars full of teenagers at a house with max 2 cars. they just arrived and i saw them carrying cases of booze inside.,0,0
RAC-2021-00945,6/26/2021,43181 SAND CANYON RD,Issued Citation,Vacation Rental Parking,numerous vehicles parked on street.,1000,1000
RAC-2021-00387,4/10/2021,43181 SAND CANYON RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,There is a large party that has moved their party to the street on Sand Canyon by Moonridge Dr.  they have placed a table to play drinking games by the street.   They have been partying since yesterday on the cabin balcony.,0,0
RAC-2021-00388,4/10/2021,43181 SAND CANYON RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,The party moved to the street from the cabin. Yesterday very loud music and partying on the balcony A dozen young people set up a table by the street in the no parking section playing games and the screaming has gotten louder and louder to the point they are screaming at cars going by. Disrupting the street traffic as they slow down as well.,0,0
RAC-2021-00467,4/23/2021,43181 SAND CANYON RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,there’s a car parked in the yard,0,0
RAC-2021-01360,7/29/2021,43181 SAND CANYON RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,amplified music,0,0
RAC-2021-00431,4/16/2021,43194 SHEEPHORN RD,Issued Citation,Vacation Rental No Licence,"Property owner has been renting without a license and then registered the property but didn`t pass inspection, but continues to rent.",8000,0
RAC-2021-00280,3/25/2021,43202 SUNSET DR,No Issue,Vacation Rental Parking,renters parking in street ... saw them carrying luggage across the street,0,0
RAC-2021-00171,3/1/2021,43218 SHEEPHORN RD,No Issue,Vacation Rental Over Occupancy,"over occupancy, playing music",0,0
RAC-2021-00255,3/20/2021,43222 SUNSET DR,Issued Citation,Vacation Rental Parking,R/P stated they have 3 vehicles in the driveway and 1 parked on the street.,1000,0
RAC-2021-00208,3/7/2021,43222 SUNSET DR,No Issue,Vacation Rental Over Occupancy,way over occupancy/ many guest cars in street / noise.  Phone call also received at 7:18 pm.,0,0
RAC-2021-01213,7/17/2021,43223 SUNSET DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,Renters parked on the street because their driveway is too steep,0,0
RAC-2021-00815,6/12/2021,43228 SHEEPHORN RD,No Issue,Vacation Rental Over Occupancy,7 cars in the driveway… setting up a party in front. over occupancy,0,0
RAC-2021-00337,4/2/2021,43231 DEER CANYON RD,Issued Citation,Vacation Rental Delinquent TOT,Previous owner did not pay TOT.,2657.7,2657.7
RAC-2021-00188,3/6/2021,43236 BOW CANYON RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,"Call came in at 9:54 pm.  RP said over occupancy, parking, noise",0,0
RAC-2021-00189,3/6/2021,43240 MOONRIDGE RD,Issued Citation,Vacation Rental Spa after 10pm,"At 10:05 pm, on way back from another call, Carlos found this house was noisy and verified that the renters were in the hot tub.  After talking to them, he was able to determine that there had been no In-Person Check-In and issued a citation to the owner.",500,500
RAC-2021-00806,6/12/2021,43240 MOONRIDGE RD,Issued Citation,Vacation Rental Noise/Party,high volume music/ no check in/ no agent response,1500,1500
RAC-2021-00929,6/26/2021,43240 MOONRIDGE RD,Issued Citation,Vacation Rental Noise/Party,"6/26/21
I received a call about noise at 12 :30AM",1500,1500
RAC-2021-00111,2/20/2021,43250 MOONRIDGE RD,Issued Citation,Vacation Rental No In-person Check-in,While patrolling gold mine drive I noticed that there was a car parked on the street.,0,0
RAC-2021-00123,2/24/2021,43250 MOONRIDGE RD,Issued Citation,Vacation Rental No In-person Check-in,,500,500
RAC-2021-01031,7/4/2021,43303 SHASTA RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,.Car parked on street.,0,0
RAC-2021-00552,5/6/2021,43337 SHEEPHORN RD,No Issue,Vacation Rental Noise/Party,noisy group playing loud music,0,0
RAC-2021-00395,4/11/2021,43339 DEER CANYON RD,Issued Citation,Vacation Rental Parking,multiple cars parked on the street,500,0
RAC-2021-01682,8/28/2021,43372 SHASTA RD,Issued Citation,Vacation Rental Noise/Party,noise,500,500
RAC-2021-01344,7/27/2021,43372 SHASTA RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Two calls came in at 8:32PM about amplified music and screaming.,0,0
RAC-2021-00199,3/7/2021,43382 SHASTA RD,Issued Citation,Vacation Rental No Exterior Sign,,0,0
RAC-2021-01681,8/28/2021,43382 SHASTA RD,Issued Citation,Vacation Rental Noise/Party,call came in about music and parting at a private home rental. 11:30 PM,500,500
RAC-2021-00343,4/2/2021,43382 SHASTA RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,call came in about noise at about 8 pm,0,0
RAC-2021-00944,6/26/2021,43382 SHASTA RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,yelling.,0,0
RAC-2021-01205,7/17/2021,43382 SHASTA RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,,0,0
RAC-2021-01458,8/7/2021,43382 SHASTA RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP states loud party / music has restarted. Only quieted down for about 5 min after last officer visit.,0,0
RAC-2021-00198,3/7/2021,43382 SHASTA RD,No Issue,Vacation Rental Noise/Party,Call came in at 9:05 pm.  Very loud party on BACK deck.,0,0
RAC-2021-00663,5/23/2021,43382 SHASTA RD,No Issue,Vacation Rental Noise/Party,Call came in about guest in the hot but making noise.,0,0
RAC-2021-00697,5/29/2021,43382 SHASTA RD,No Issue,Vacation Rental Noise/Party,R/P stated the occupants are playing loud music and talking loud.,0,0
RAC-2021-01197,7/17/2021,43382 SHASTA RD,No Issue,Vacation Rental Noise/Party,RP states loud party at VR above her home,0,0
RAC-2021-01453,8/7/2021,43382 SHASTA RD,No Issue,Vacation Rental Noise/Party,VR states party noise/loud screaming,0,0
RAC-2021-01574,8/20/2021,43382 SHASTA RD,No Issue,Vacation Rental Noise/Party,RP states very loud/vulgar - advises `rough looking crowd`,0,0
RAC-2021-01576,8/20/2021,43382 SHASTA RD,No Issue,Vacation Rental Noise/Party,RP states tenants are outside again and yelling/screaming louder than before. RP states it seems they are doing it as retaliation since CO already responded tonight.,0,0
RAC-2021-00438,4/17/2021,43411 BOW CYN RD,Issued Citation,Vacation Rental Noise/Party,LARGE NUMBER OF CARS AND PEOPLE & NOISE.,9500,0
RAC-2021-01599,8/21/2021,43411 SHEEPHORN RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,8:35 PM - RP states cars parked on the street,0,0
RAC-2021-00716,5/31/2021,43416 PRIMROSE DR,No Issue,Vacation Rental Noise/Party,R/P stated the occupants left their dogs at the residence unattended and they are barking non stop.,0,0
RAC-2021-00342,4/2/2021,43418 SHEEPHORN DR,No Issue,Vacation Rental Over Occupancy,over occupancy,0,0
RAC-2021-00796,6/11/2021,43418 SHEEPHORN RD,Issued Citation,Vacation Rental Noise/Party,RP states music very loud from inside of house.,500,0
RAC-2021-00800,6/11/2021,43418 SHEEPHORN RD,Issued Citation,Vacation Rental Noise/Party,NO RESPONSE TO PROPERTY BY AGENT.,1000,1000
RAC-2021-00801,6/11/2021,43418 SHEEPHORN RD,Issued Citation,Vacation Rental Noise/Party,AGENT DID NOT RESPOND/ CITATION TO OWNER.,1000,0
RAC-2021-00656,5/22/2021,43418 SHEEPHORN RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,,0,0
RAC-2021-00068,2/13/2021,43431 SAND CANYON RD,Issued Citation,Vacation Rental Parking,R/P stated the occupants have 5 vehicles parked in a field across from her residence because the PHR residence owner did not plow the driveway. She stated this is an ongoing problem.,6500,0
RAC-2021-01502,8/13/2021,43462 COLUSA DR,Issued Citation,Vacation Rental Spa after 10pm,"10:58 PM - RP states renters just got in spa - cursing, loud",500,500
RAC-2021-01035,7/4/2021,43462 COLUSA DR,No Issue,Vacation Rental Noise/Party,This rental was loud into the early morning hours of  7/4. Kids screaming and keeping our family up. We own across the ravine and it sounded like they were right next-door. Please notify them that they need to be quiet past 10 PM. I can only imagine how loud they will be the evening of Independence Day!,0,0
RAC-2021-00572,5/11/2021,43473 COLUSA CT,Issued Citation,Vacation Rental No License,"This house has been rented frequently (nearly every weekend) over the past couple of years that we have owned nearby.  Those staying there have said they are renters, but there is no rental signage and this address does not appear in the BBL rental database/listing.  Furthermore there are often 4-6 cars in the driveway and in excess of the 16 person occupancy.  We have overlooked this violation for years, but feel as though it should be brought to the city`s attention given the new urgency ordinance in regards to rentals.  Thank you for looking into this property, their activity and making sure they are following the short term rental rules.",5000,5000
RAC-2021-00371,4/7/2021,43473 COLUSA CT,No Issue,Vacation Rental No Licence,"This house has been rented frequently (nearly every weekend) over the past couple of years that we have owned nearby.  Those staying there have said they are renters, but there is no rental signage and this address does not appear in the BBL rental database/listing.  Furthermore there are often 4-6 cars in the driveway and in excess of the 16 person occupancy.  We have overlooked this violation for years, but feel as though it should be brought to the city`s attention given the new urgency ordinance in regards to rentals.  Thank you for looking into this property, their activity and making sure they are following the short term rental rules.",0,0
RAC-2021-00470,4/24/2021,43491 VILLA GROVE AVE,Issued Citation,Vacation Rental Noise/Party,"AIR B&B, NOISE.",1000,0
RAC-2021-01071,7/6/2021,43560 BOW CANYON RD,No Issue,Vacation Rental Noise/Party,Loud music,0,0
RAC-2021-01361,7/30/2021,43561 BOW CANYON RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,yelling and screaming.,0,0
RAC-2021-00825,6/13/2021,43565 WOLF RD,Issued Citation,Vacation Rental Noise/Party,Yelling and screaming.,500,500
RAC-2021-00826,6/13/2021,43565 WOLF RD,Issued Citation,Vacation Rental Noise/Party,NOISE COMPLAINT/ NO RESPONSE FROM AGENT.,1000,0
RAC-2021-00165,2/28/2021,43565 WOLF RD,Issues Resolved With Verbal Warning,Vacation Rental Over Occupancy,R/P stated the residence had too many vehicles and believed the residence was over occupied.,0,0
RAC-2021-00149,2/27/2021,43565 WOLF RD,No Issue,Vacation Rental Noise/Party,A call came in about a vacation rental having loud music.,0,0
RAC-2021-01494,8/12/2021,43565 WOLF RD,No Issue,Vacation Rental Noise/Party,noise.,0,0
RAC-2021-00302,3/28/2021,43574 SHASTA RD,Issues Resolved With Verbal Warning,Vacation Rental Spa after 10pm,"Group of guys in the spa, talking very loudly and smoking cigars",0,0
RAC-2021-00610,5/17/2021,43574 SHASTA RD,No Issue,Vacation Rental Spa after 10pm,Hot tub party after 10,0,0
RAC-2021-00690,5/29/2021,43575 WOLF RD,Issued Citation,Vacation Rental Parking,numerous phone calls,500,500
RAC-2021-00693,5/29/2021,43575 WOLF RD,Issued Citation,Vacation Rental Parking,THREE COMPLAINTS 4 VEHICLES PARKED IN STREET.,1500,0
RAC-2021-00148,2/27/2021,43575 WOLF RD,No Issue,Vacation Rental Parking,A call came in about a private home rental with too many cars.,0,0
RAC-2021-01656,8/28/2021,43591 BOW CANYON RD,Issued Citation,Vacation Rental Noise/Party,call came in at 7:39 AM about kids partying all night and still going on in the morning.,500,500
RAC-2021-00660,5/22/2021,43596 SHEEPHORN RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,call came in about a vacation rental parking on the street,0,0
RAC-2021-01291,7/24/2021,43598 BOW CANYON RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,While responding to 43611 Bow Canyon RAC-2021-01283 I observed light music while approaching and loud talking coming from this vacation rental.,0,0
RAC-2021-01411,8/1/2021,43601 RIDGECREST DR,Issued Citation,Vacation Rental Noise/Party,amplified music,500,0
RAC-2021-01519,8/14/2021,43601 RIDGECREST DR,Issued Citation,Vacation Rental Noise/Party,9:52 pm - RP states party just started up,500,500
RAC-2021-01695,8/29/2021,43601 RIDGECREST DR,Issued Citation,Vacation Rental Noise/Party,call came in about a private home rental playing music and being loud on the back deck.,500,500
RAC-2021-00816,6/12/2021,43601 RIDGECREST DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,high volume noise.,0,0
RAC-2021-01210,7/17/2021,43601 RIDGECREST DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,,0,0
RAC-2021-01088,7/7/2021,43601 RIDGECREST DR,No Issue,Vacation Rental Noise/Party,Call came in at 7:35 about music and a dog barking at a VHR.,0,0
RAC-2021-01469,8/9/2021,43602 BOW CANYON RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,should show as bow canyon ln not rd.,0,0
RAC-2021-01468,8/9/2021,43602 BOW CANYON RD,No Issue,Vacation Rental Noise/Party,Yelling/ wrong address given.,0,0
RAC-2021-01465,8/8/2021,43605 RIDGE CREST DR,No Issue,Vacation Rental Spa after 10pm,Spa after 10 pm,0,0
RAC-2021-01459,8/7/2021,43606 SAN PASQUAL DR,Issued Citation,Vacation Rental Noise/Party,Loud voices outside after 11 pm,1000,0
RAC-2021-00289,3/27/2021,43606 YOSEMITE DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,call came in about a white Chevy parked in the neighbors driveway that belongs to the private home rental at 43606 Yosemite.,0,0
RAC-2021-01208,7/17/2021,43606 YOSEMITE DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Call came in about noise and partying at this address.,0,0
RAC-2021-01283,7/24/2021,43611 BOW CANYON RD,No Issue,Vacation Rental Noise/Party,9:54 pm RP states people being very noisy (no music),0,0
RAC-2021-01374,7/30/2021,43613 COLUSA DR,No Issue,Vacation Rental Noise/Party,R/P stated the occupants are having a party with loud music and people yelling.,0,0
RAC-2021-01339,7/26/2021,43625 WOLF RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,yelling. Air hockey game non stop.,0,0
RAC-2021-01282,7/24/2021,43625 WOLF RD,No Issue,Vacation Rental Noise/Party,9:48 pm RP stated loud party - SO on site.,0,0
RAC-2021-00700,5/30/2021,43629 BOW CANYON RD,No Issue,Vacation Rental Noise/Party,Loud talking and music,0,0
RAC-2021-00701,5/30/2021,43629 BOW CANYON RD,No Issue,Vacation Rental Noise/Party,"Several guys outside partying, talking loudly with a lot of cursing.",0,0
RAC-2021-01652,8/28/2021,43645 COLUSA DR,Issued Citation,Vacation Rental Noise/Party,call came in at 2:46 AM about music and parting.,1500,1500
RAC-2021-01655,8/28/2021,43645 COLUSA DR,Issued Citation,Vacation Rental Noise/Party,call came in at about 2:46 AM about loud music,500,500
RAC-2021-00896,6/21/2021,43645 COLUSA DR,Issues Resolved With Verbal Warning,Vacation Rental Over Occupancy,"Please check out vacation rental Over occupancy and party & event over 40people.
Many under age teenagers without supervision.
Speakers and drums, big event with out parents nor not enough adults.",0,0
RAC-2021-00562,5/9/2021,43649 BOW CANYON RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Loud music and people,0,0
RAC-2021-00195,3/6/2021,43653 COLUSA DR,Issued Citation,Vacation Rental Parking,Call came in at 5:38 pm.  RP stated over parking and over occupancy.,500,0
RAC-2021-01280,7/23/2021,43659 BOW CANYON RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP states very loud parties in their neighborhood - one at this house and at least one more in the area.  Check for others.,0,0
RAC-2021-00824,6/13/2021,43666 SHEEPHORN RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,,0,0
RAC-2021-00113,2/20/2021,43669 RIDGE CREST DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,"Very loud party with bass and a lot of people screaming, hooting and hollering.",0,0
RAC-2021-00115,2/22/2021,43669 RIDGE CREST DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,"While patrolling the area, I heard loud music and yelling coming from the residence.",0,0
RAC-2021-00833,6/15/2021,43669 RIDGE CREST DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Late night noise,0,0
RAC-2021-01135,7/11/2021,43669 RIDGE CREST DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Slight music coming from residence and loud talking,0,0
RAC-2021-01290,7/24/2021,43669 RIDGE CREST DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,While on patrol in the Bow Canyon area for a party complaint I observed screaming coming from the residence.,0,0
RAC-2021-00494,4/28/2021,43669 RIDGE CREST DR,No Issue,Vacation Rental Noise/Party,A large group party of continuously screaming and loud young adults,0,0
RAC-2021-00685,5/29/2021,43669 RIDGE CREST DR,No Issue,Vacation Rental Noise/Party,Loud singing and laughing,0,0
RAC-2021-00992,7/2/2021,43669 RIDGE CREST DR,No Issue,Vacation Rental Noise/Party,Yelling.,0,0
RAC-2021-01653,8/28/2021,43686 RIDGE CREST DR,Issued Citation,Vacation Rental Noise/Party,RP states VR party/loud/noise,500,500
RAC-2021-01645,8/27/2021,43689 RIDGE CREST DR,No Issue,Vacation Rental Noise/Party,RP states VR party/loud/noise,0,0
RAC-2021-01598,8/21/2021,437 FALLEN LEAF RD,Issued Citation,Vacation Rental Noise/Party,"8:08 pm - RP states loud noises, swearing, etc. next door on the deck.  They are inside home and can hear it all.",500,500
RAC-2021-01137,7/11/2021,437 FALLEN LEAF RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Noise and partying going on.,0,0
RAC-2021-00842,6/16/2021,437 FALLEN LEAF RD,No Issue,Vacation Rental Parking,"Parking in the street, all night (tues) and day (wed). A new car on the street in front of the rental, every week.",0,0
RAC-2021-01024,7/3/2021,437 FALLEN LEAF RD,No Issue,Vacation Rental Parking,"Cars in the street, party at house. Screaming and yelling.",0,0
RAC-2021-01036,7/4/2021,437 FALLEN LEAF RD,No Issue,Vacation Rental Parking,"Parking in the street and on the dirt next to driveway overnight. This street and town are out of control. Yes the 4th is busy, but the rules are there especially for the 4th. No one follows the rules, we live down the hill and live in a cabin up the street from this house, we can`t get to our house or sleep because of the noise most weekends. We invested here because we valued quite town charm, not noisy motel parties every weekend. These non rule following investors and so called managers don`t care about anything except a buck. Apparently we are supposed to change our quite lifestyle we`ve bought with our retirement nest egg and help them earn money, so they can build a nest egg to buy a quite home in a small town somewhere else.",0,0
RAC-2021-01116,7/10/2021,437 FALLEN LEAF RD,No Issue,Vacation Rental Noise/Party,Loud parting on the back deck at midnight. We can hear them 4 houses away up the hill. Kids can`t sleep.,0,0
RAC-2021-01120,7/10/2021,437 FALLEN LEAF RD,No Issue,Vacation Rental Noise/Party,"Loud drinking party on the back deck. Yelling, we can hear them in the back yard across the street. We came to big bear for the weekend with our children, we don`t have air-conditioning in our cabin. We have have to keep the windows open instead of a peaceful get away we have loud drinking party noise.",0,0
RAC-2021-01683,8/29/2021,43709 COLUSA DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,call came in at about 1:20AM about some noise coming rom the vacation rental next door.,0,0
RAC-2021-01401,8/1/2021,43722 YOSEMITE DR,Issued Citation,Vacation Rental Spa after 10pm,music and spa use after 10.,1000,1000
RAC-2021-01113,7/10/2021,43731 CANYON CRST,No Issue,Vacation Rental Noise/Party,"RP states that there is a party going on at this WOW Rentals VR, upwards of 20 people. Happens every weekend.",0,0
RAC-2021-00194,3/6/2021,43745 WOLF RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,Call came in at 3:36 pm.  RP says party going on since about 11 am on the deck.  Very loud.,0,0
RAC-2021-00203,3/7/2021,43745 WOLF RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,call came in about guests being to loud.,0,0
RAC-2021-01415,8/2/2021,43809 WOLF RD,Issued Citation,Vacation Rental Noise/Party,call came in about music being played very loudly at a private home rental.,500,500
RAC-2021-01191,7/17/2021,43809 WOLF RD,No Issue,Vacation Rental Noise/Party,RP states kids are screaming/yelling,0,0
RAC-2021-00295,3/27/2021,43827 YOSEMITE DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,"Contractors have been blasting music since 915 am this morning.  It`s louder then their hammering/construction noise.  Sounds like a concert is happening.

Have tried yelling over the fence numerous times but it`s so loud they can`t hear us.",0,0
RAC-2021-00971,6/28/2021,43857 CANYON CREST DR,Issued Citation,Vacation Rental Noise/Party,noise.,1500,0
RAC-2021-00906,6/22/2021,43875 MENDOCINO DR,Issued Citation ,Vacation Rental Delinquent TOT,Failure to remit Q1-2021 TOT/BBLTBID,1817.68,1782.68
RAC-2021-01621,8/25/2021,43875 MENDOCINO DR,Issued Citation and Revoked License,Vacation Rental Delinquent TOT,Failure to remit TOT for Q2-2021 (prev. delinquent for Q1-2021).  Revoke permit.,1485.23,1485.23
RAC-2021-00072,2/14/2021,43876 YOSEMITE DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party/spa,At 1:38 am i responded to a call about a private home rental using the spa after 10:00 pm. i made contact at about 1:55 am and explained the ordinance and they complied and left the spa immediately. no further action was needed.,0,0
RAC-2021-00335,4/2/2021,43876 YOSEMITE DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,"Possible over-occupancy, trespassing, party in the hot-tub",0,0
RAC-2021-00139,2/27/2021,43888 YOSEMITE DR,Issued Citation,Vacation Rental Noise/Party,received a noise complaint and also a complaint about too many cars parked on the driveway at 1:41 am.,500,0
RAC-2021-00927,6/26/2021,43888 YOSEMITE DR,Issued NOV,Vacation Rental Parking,call came in on 6/25/21 at 8:11 PM about a short term rental parking their vehicle on the neighbors property.,0,0
RAC-2021-01046,7/5/2021,439 CATALINA RD,Issued Citation,Vacation Rental Noise/Party,people loud in spa,500,500
RAC-2021-01055,7/5/2021,439 CATALINA RD,Issued Citation,Vacation Rental Noise/Party,Vacation rental next door to my house is having a very loud party. It sounds like they are in my living room.,1000,1000
RAC-2021-00712,5/30/2021,439 CATALINA RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,Car parked in yard.,0,0
RAC-2021-00706,5/30/2021,439 CATALINA RD,No Issue,Vacation Rental Noise/Party,R/P stated the occupants were playing loud music.,0,0
RAC-2021-00925,6/26/2021,439 CATALINA RD,No Issue,Vacation Rental Spa after 10pm,In jacuzzi after 10:00 pm,0,0
RAC-2021-01045,7/5/2021,439 CATALINA RD,No Issue,Vacation Rental Spa after 10pm,10:23 pm - RP reports renters in spa after 10 pm.,0,0
RAC-2021-01400,8/1/2021,43939 YOSEMITE DR,Issues Resolved With Verbal Warning,Vacation Rental Parking,Cars parked on the street. Possible over occupancy.,0,0
RAC-2021-00036,2/6/2021,440 TENNESSEE LN,Issues Resolved With Verbal Warning,Vacation Rental Parking,5 cars not parked well,0,0
RAC-2021-01572,8/20/2021,440 WINDSONG PL,Issues Resolved With Verbal Warning,Vacation Rental Parking,parking on street.,0,0
RAC-2021-00329,4/1/2021,441 VISTA LN,No Issue,Vacation Rental Noise/Party,Very loud music coming from the house.  This house is not a registered STR.,0,0
RAC-2021-00357,4/4/2021,443 ARROYO DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,call came in about noise coming from this house.,0,0
RAC-2021-00278,3/25/2021,444 TEMPLE LN,Issued Citation,Vacation Rental Spa after 10pm,call came in at about 10 pm about spa use after hours.,500,0
RAC-2021-01285,7/24/2021,444 TEMPLE LN,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,"10:32 pm Very loud, drunk people talking on back deck keeping her awake",0,0
RAC-2021-00015,2/4/2021,444 TEMPLE LN,No Issue,Vacation Rental Noise/Party,People on the deck making a lot of noise,0,0
RAC-2021-00374,4/7/2021,444 TEMPLE LN,No Issue,Vacation Rental Noise/Party,I received a call about noise coming from spa at 8:37pm,0,0
RAC-2021-00902,6/22/2021,444 TEMPLE LN,No Issue,Vacation Rental Noise/Party,R/P stated the occupants were on the front deck playing loud music and yelling.,0,0
RAC-2021-01346,7/27/2021,444 TEMPLE LN,No Issue,Vacation Rental Noise/Party,Call came in concerning yelling and loud talking on the deck.,0,0
RAC-2021-00703,5/30/2021,445 MORNINGSTAR PL,Issues Resolved With Verbal Warning,Vacation Rental Parking,R/P stated the occupants parked 1 vehicle on the street.,0,0
RAC-2021-01014,7/3/2021,446 FALLEN LEAF RD,Issued Citation,Vacation Rental Parking,parking in street.,1000,0
RAC-2021-01013,7/3/2021,447 CHIPMUNK LN,No Issue,Vacation Rental Noise/Party,call came in after hours at about 10:50 am about a barking dog.,0,0
RAC-2021-00101,2/19/2021,447 CRANE DR,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,R/P stated the occupants were on the deck in the backyard playing loud music and yelling.,0,0
RAC-2021-01276,7/23/2021,451 CIENEGA RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,RP States renters showed up and started playing their music very loud.,0,0
RAC-2021-01585,8/21/2021,451 CIENEGA RD,No Issue,Vacation Rental Parking,CARS PARKED IN STREET.,0,0
RAC-2021-00152,2/27/2021,453 VISTA LN,Issues Resolved With Verbal Warning,vacation rental /trespassing,I received a call about a vacation rental trespassing onto a neighbors yard for the kids to play in the snow.,0,0
RAC-2021-00519,5/2/2021,454 TEMPLE LN,No Issue,Vacation Rental Noise/Party,R/P stated the occupants are playing loud music.,0,0
RAC-2021-01038,7/4/2021,462 FALLEN LEAF RD,Issued Citation,Vacation Rental Parking,parking on street after previous warning.,1000,1000
RAC-2021-00654,5/22/2021,462 FALLEN LEAF RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,4 cars parked on street,0,0
RAC-2021-00894,6/21/2021,462 FALLEN LEAF RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,"Party at rental, can hear them partying from the street behind them 5 houses away at 11pm on Sunday night, it`s the norm for this neighborhood.  Two cars parked on the street as well, this has been the usual for a year. Parting, screaming, cusing, music, in the jacuzzi late and cars in the street every day of the week. Its a monster party house. Please help, we need to sleep.",0,0
RAC-2021-01012,7/3/2021,462 FALLEN LEAF RD,Issues Resolved With Verbal Warning,Vacation Rental Parking,parking on street.,0,0
RAC-2021-01118,7/10/2021,462 FALLEN LEAF RD,Issues Resolved With Verbal Warning,Vacation Rental Noise/Party,"Loud party all night again. Still going outside at 12am, please help",0,0
RAC-2021-01022,7/3/2021,462 FALLEN LEAF RD,No Issue,Vacation Rental Noise/Party,"Blasting music that can be heard several streets away, also drunk singing to the music, screaming profanity all day. Several cars in the street at this house and several houses around with loud partying. Please help",0,0
RAC-2021-00717,5/31/2021,464 SHADY LN,Issued Citation,Vacation Rental Noise/Party,05/31/21 12:12 am yelling hi volume talking.,1000,500
RAC-2021-01403,8/1/2021,464 SHADY LN,Issued Citation,Vacation Rental Spa after 10pm,Call came in concerning spa use after 10pm,1500,1500
RAC-2021-00707,5/30/2021,464 SHADY LN,No Issue,Vacation Rental Noise/Party,R/P stated the occupants were talking loud on the rear deck.,0,0
